Symbol,CompanyName,YahooSymbol,Exchange,Country
8TRA,TRATON,8TRA.ST,Nasdaq Stockholm / Sweden,Sweden
AAK,AAK,AAK.ST,Nasdaq Stockholm / Sweden,Sweden
ABB,ABB Ltd,ABB.ST,Nasdaq Stockholm / Sweden,Sweden
ACAD,AcadeMedia,ACAD.ST,Nasdaq Stockholm / Sweden,Sweden
ACAST,Acast,ACAST.ST,Nasdaq Stockholm / Sweden,Sweden
ACE,Ascelia Pharma,ACE.ST,Nasdaq Stockholm / Sweden,Sweden
ACRI A,Acrinova A,ACRI-A.ST,Nasdaq Stockholm / Sweden,Sweden
ACRI B,Acrinova B,ACRI-B.ST,Nasdaq Stockholm / Sweden,Sweden
ACTI,Active Biotech,ACTI.ST,Nasdaq Stockholm / Sweden,Sweden
ADDT B,Addtech B,ADDT-B.ST,Nasdaq Stockholm / Sweden,Sweden
AFRY,AFRY,AFRY.ST,Nasdaq Stockholm / Sweden,Sweden
AJA B,Byggmästare A J Ahlström H,AJA-B.ST,Nasdaq Stockholm / Sweden,Sweden
ALFA,Alfa Laval,ALFA.ST,Nasdaq Stockholm / Sweden,Sweden
ALIF B,AddLife B,ALIF-B.ST,Nasdaq Stockholm / Sweden,Sweden
ALIG,Alimak Group,ALIG.ST,Nasdaq Stockholm / Sweden,Sweden
ALIV SDB,Autoliv SDB,ALIV-SDB.ST,Nasdaq Stockholm / Sweden,Sweden
ALLEI,Alleima,ALLEI.ST,Nasdaq Stockholm / Sweden,Sweden
ALLIGO B,Alligo B,ALLIGO-B.ST,Nasdaq Stockholm / Sweden,Sweden
ALVO SDB,Alvotech SDB,ALVO-SDB.ST,Nasdaq Stockholm / Sweden,Sweden
AMBEA,Ambea,AMBEA.ST,Nasdaq Stockholm / Sweden,Sweden
ANNE B,Annehem Fastigheter B,ANNE-B.ST,Nasdaq Stockholm / Sweden,Sweden
ANOD B,Addnode Group B,ANOD-B.ST,Nasdaq Stockholm / Sweden,Sweden
ANOT,Anoto Group,ANOT.ST,Nasdaq Stockholm / Sweden,Sweden
APOTEA,Apotea,APOTEA.ST,Nasdaq Stockholm / Sweden,Sweden
AQ,AQ Group,AQ.ST,Nasdaq Stockholm / Sweden,Sweden
